model_id,display_name,family,family_label,correct,count,valid,invalid,accuracy
claude-fable-5-1,Claude Fable 5.1,direction,Immediate flow,8,8,8,0,1.0
claude-haiku-4-5-20251001,Claude Haiku 4.5,direction,Immediate flow,8,8,8,0,1.0
claude-opus-5,Claude Opus 5,direction,Immediate flow,8,8,8,0,1.0
claude-sonnet-5,Claude Sonnet 5,direction,Immediate flow,8,8,8,0,1.0
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,direction,Immediate flow,8,8,8,0,1.0
gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,direction,Immediate flow,8,8,8,0,1.0
gemini-3.8-flash,Gemini 3.8 Flash,direction,Immediate flow,8,8,8,0,1.0
gpt-5.6-luna,GPT-5.6 Luna,direction,Immediate flow,8,8,8,0,1.0
gpt-5.6-sol,GPT-5.6 Sol,direction,Immediate flow,8,8,8,0,1.0
gpt-5.6-terra,GPT-5.6 Terra,direction,Immediate flow,8,8,8,0,1.0
gpt-6-astra,GPT-6 Astra,direction,Immediate flow,8,8,8,0,1.0
muse-spark-1.2,Muse Spark 1.2,direction,Immediate flow,8,8,8,0,1.0
muse-spark-1.3,Muse Spark 1.3,direction,Immediate flow,8,8,8,0,1.0
claude-fable-5-1,Claude Fable 5.1,distribution,Main-axis distribution,21,24,24,0,0.875
claude-haiku-4-5-20251001,Claude Haiku 4.5,distribution,Main-axis distribution,5,24,24,0,0.20833333333333334
claude-opus-5,Claude Opus 5,distribution,Main-axis distribution,24,24,24,0,1.0
claude-sonnet-5,Claude Sonnet 5,distribution,Main-axis distribution,23,24,24,0,0.9583333333333334
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,distribution,Main-axis distribution,24,24,24,0,1.0
gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,distribution,Main-axis distribution,14,24,24,0,0.5833333333333334
gemini-3.8-flash,Gemini 3.8 Flash,distribution,Main-axis distribution,24,24,24,0,1.0
gpt-5.6-luna,GPT-5.6 Luna,distribution,Main-axis distribution,24,24,24,0,1.0
gpt-5.6-sol,GPT-5.6 Sol,distribution,Main-axis distribution,24,24,24,0,1.0
gpt-5.6-terra,GPT-5.6 Terra,distribution,Main-axis distribution,24,24,24,0,1.0
gpt-6-astra,GPT-6 Astra,distribution,Main-axis distribution,24,24,24,0,1.0
muse-spark-1.2,Muse Spark 1.2,distribution,Main-axis distribution,24,24,24,0,1.0
muse-spark-1.3,Muse Spark 1.3,distribution,Main-axis distribution,24,24,24,0,1.0
claude-fable-5-1,Claude Fable 5.1,crossalign,Cross-axis alignment,16,16,16,0,1.0
claude-haiku-4-5-20251001,Claude Haiku 4.5,crossalign,Cross-axis alignment,13,16,16,0,0.8125
claude-opus-5,Claude Opus 5,crossalign,Cross-axis alignment,16,16,16,0,1.0
claude-sonnet-5,Claude Sonnet 5,crossalign,Cross-axis alignment,16,16,16,0,1.0
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,crossalign,Cross-axis alignment,16,16,16,0,1.0
gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,crossalign,Cross-axis alignment,16,16,16,0,1.0
gemini-3.8-flash,Gemini 3.8 Flash,crossalign,Cross-axis alignment,16,16,16,0,1.0
gpt-5.6-luna,GPT-5.6 Luna,crossalign,Cross-axis alignment,16,16,16,0,1.0
gpt-5.6-sol,GPT-5.6 Sol,crossalign,Cross-axis alignment,16,16,16,0,1.0
gpt-5.6-terra,GPT-5.6 Terra,crossalign,Cross-axis alignment,16,16,16,0,1.0
gpt-6-astra,GPT-6 Astra,crossalign,Cross-axis alignment,16,16,16,0,1.0
muse-spark-1.2,Muse Spark 1.2,crossalign,Cross-axis alignment,16,16,16,0,1.0
muse-spark-1.3,Muse Spark 1.3,crossalign,Cross-axis alignment,16,16,16,0,1.0
claude-fable-5-1,Claude Fable 5.1,textalign,Text justification,16,16,16,0,1.0
claude-haiku-4-5-20251001,Claude Haiku 4.5,textalign,Text justification,4,16,16,0,0.25
claude-opus-5,Claude Opus 5,textalign,Text justification,16,16,16,0,1.0
